time,na,va_x,va_y,va_z,B_inst_x,B_inst_y,B_inst_z,Ta_perp,Trat
1610716256.725006,13.30620927659148,-488.7368738697745,90.33115828078344,55.10722073742579,-84.8564,61.2319,-36.4320,263.9540244819516,0.8290897372688819
1610716382.554543,13.67797593736684,-483.5115068358410,98.82437404457860,62.75408847232031,-97.7072,18.6127,-68.6325,250.3775683031748,0.7686573436687131
1610716508.384021,12.99893732647412,-488.2086143055086,99.40782683164635,60.42922124049023,-98.1042,46.1864,-48.3075,230.0180604992706,0.6824446412528384
1610716634.213578,14.02340601464214,-484.8692285534977,101.9632950375988,59.62162099843916,-97.1301,4.97384,-62.6347,237.9864279654366,0.7408755141235482
1610716760.043116,15.78813294870805,-480.8836945236285,109.3532969320644,43.55888008332789,-106.211,-35.4587,2.62650,264.2848126214134,0.9833156173507230
1610716885.872673,15.19205087784217,-480.2673972464594,100.5904931866220,32.60981335007556,-112.612,9.01224,26.7378,266.2686934481657,0.7703080126288149
1610717011.702210,14.18478094047455,-490.1795500036865,104.8602862755052,39.69612025970478,-113.904,9.49660,27.6905,258.6352192892928,0.9311278899451753
1610717137.531708,14.88540059744212,-484.9746926996399,111.6808502290735,29.63889071494780,-76.7718,-26.4287,92.0490,235.5077791380328,0.7360456179400557
1610717263.361245,13.57475059856361,-485.9580261144686,110.5607689215406,30.75965014033813,-88.8865,-6.83881,78.1433,223.5848815560492,0.7244065067071878
1610717389.190782,12.04601781535368,-478.5832677446083,100.8965866981336,38.18839713502095,-102.603,36.8518,53.3611,222.4875179455644,0.7376369467875777
1610717515.020339,12.75330760722578,-470.4968299336975,101.5546634297594,40.56162504571206,-107.716,3.20717,40.5727,224.7484630006612,0.8240313869687224
1610717640.849877,13.76857614936361,-473.0767558775513,104.5056835369453,28.52729670407540,-72.1192,-4.65828,63.8251,244.4239346648395,0.6543361865840168
1610717766.679374,14.28927352577096,-482.0851745890006,106.8748760519468,30.21077989252496,-78.2572,-29.5773,74.9119,272.8384658322672,0.7574992603217116
1610717892.508911,13.50409186311480,-483.3729553824270,110.5992512746037,36.00912497265278,-74.9163,-18.7154,70.5939,268.2984062187866,0.8871121854798020
1610718018.338469,15.36237758560168,-482.0533633544688,112.0125480114308,28.98623792823987,-55.3875,-50.7233,78.1755,287.0323816599587,0.8732652095456923
1610718144.168006,13.48380374728151,-482.8929235052775,109.5426348053545,32.84195456209002,-75.2286,-27.1468,69.2756,214.5856344045247,0.5993386695502138
1610718269.997543,11.20611904352482,-473.4206215755496,105.7758287301262,24.78368942129696,-94.0320,1.83680,71.2023,199.6510868632994,0.7193710880796192
1610718395.827100,11.71036760489304,-484.8338647683289,100.0698192952730,38.84061344607908,-93.5344,28.9986,54.4326,223.5880720685977,0.6128581787656974
1610718521.656578,12.77256788789090,-478.8795042626982,89.31009860600263,49.85605586353451,-104.126,53.9212,-8.12365,230.0240182621287,0.6210206846404351
