time,np1,np2,vp1_x,vp1_y,vp1_z,B_inst_x,B_inst_y,B_inst_z,vdrift,Tperp1,Tperp2,Trat1,Trat2
1601175550.047723,814.0864461239182,491.7169734430757,-260.0448149592139,84.68139572270026,52.61263609151023,199.199,-64.0609,18.9584,-84.12346601992344,47.96864345623458,68.93798118750530,3.007611306155193,0.8663995106083208
1601175717.820524,1034.621473546439,503.0264709401362,-265.0221641372637,108.3710728290676,71.07999107937246,198.086,-4.06626,53.9191,-82.91469389846746,56.63454967549027,63.32435647149534,3.136644968836166,0.8118923688569628
1601175829.669098,848.9118320266583,485.6896723706516,-255.4741287398797,111.1512603333645,36.97222699213916,219.705,-34.2192,-16.4372,-68.62804634649842,41.19724467129801,75.33654096996175,2.042938358726524,1.053930545222815
1601175941.517632,1105.756943353438,346.6328467288525,-258.3643909042790,104.8171842044219,8.819486171197786,216.826,-35.0456,-44.3321,-82.09581959389409,51.62586598669569,51.45890589328378,2.946519156710450,0.5504574671232478
1601176053.366207,1146.031520462728,294.6537726253693,-258.9922017212037,102.9380224998839,20.15086133697968,223.164,-36.9517,-31.2798,-89.58122625428186,51.07017868772709,48.59491913247466,2.766904810613907,0.4831008448371250
1601176165.214741,1103.053775912817,264.6766011926502,-262.3034383581928,85.31346693844208,26.25302563908651,218.553,-63.4932,-29.0413,-105.8529182693861,52.54429549839760,43.78859806321109,2.756513931014955,0.4529731102576902
1601176277.063315,1063.624025632439,211.9276547481086,-263.0726395621392,75.75500156804776,29.95042676857461,210.839,-77.0482,-19.4980,-115.7467049138704,52.51427516503169,41.59562253279370,2.673065777886819,0.4541043594786510
1601176388.911849,1043.102218790637,286.2847343473788,-262.9316469913621,80.68655654596854,35.17906824869242,214.365,-59.9540,-15.7696,-93.38005053221363,51.91535327098104,46.40394771929178,2.846849704051851,0.5371109771793324
1601176500.760364,1104.763285769272,210.5360515673579,-265.4894989757564,78.91780991775828,36.60910062584503,212.855,-69.5650,-12.1376,-141.7431218637109,52.93946121543174,38.99195231215327,2.610541797431855,0.5778079255664045
1601176612.608958,890.5393553855321,258.6087528999316,-269.4784319941417,66.22045910782774,30.84979366965850,209.503,-89.0376,-21.1983,-96.76957234509233,51.29104639451036,44.57405269552876,2.637703454012231,0.4704102535558979
