Year   Month     Day    Hour  Minute  Second              HGI_X(km)             HGI_Y(km)             HGI_Z(km)
2020      09      23      06      20      00             26113487.8958        -15613986.39          1036297.466
2020      09      23      06      21      00             26112463.8827        -15609167.08          1035972.411
2020      09      23      06      22      00             26111439.4273         -15604347.5          1035647.338
2020      09      23      06      23      00             26110414.5295        -15599527.66          1035322.248
2020      09      23      06      24      00             26109389.1891        -15594707.55           1034997.14
2020      09      23      06      25      00              26108363.406        -15589887.18          1034672.015
2020      09      23      06      26      00             26107337.1801        -15585066.55          1034346.872
2020      09      23      06      27      00             26106310.5112        -15580245.65          1034021.712
2020      09      23      06      28      00             26105283.3992        -15575424.49          1033696.534
2020      09      23      06      29      00             26104255.8439        -15570603.06          1033371.339
2020      09      23      06      30      00             26103227.8454        -15565781.37          1033046.126
2020      09      23      06      31      00             26102199.4033        -15560959.41          1032720.896
2020      09      23      06      32      00             26101170.5177        -15556137.19          1032395.648
2020      09      23      06      33      00             26100141.1882        -15551314.71          1032070.382
2020      09      23      06      34      00              26099111.415        -15546491.96          1031745.099
2020      09      23      06      35      00             26098081.1977        -15541668.94          1031419.798
2020      09      23      06      36      00             26097050.5363        -15536845.66           1031094.48
2020      09      23      06      37      00             26096019.4306        -15532022.12          1030769.144
2020      09      23      06      38      00             26094987.8806        -15527198.31          1030443.791
2020      09      23      06      39      00              26093955.886        -15522374.24           1030118.42
2020      09      23      06      40      00             26092923.4468        -15517549.91          1029793.031
